category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Early Access Games,"18 Mar, 2020",ScopeNext Inc,DIMENSION REIGN - ROGUELIKE DECKBUILDER,win,"942,65 руб.",Mixed,203,"Roguelike,Deckbuilder,Card,Battler,Roguelite,Card,Game,Roguelike,Deckbuilding,RPG,Strategy,2D,Post-apocalyptic,Anime,Dark,Fantasy,Demons,Dark,Turn-Based,Singleplayer,Early,Access,Indie,Mouse,only,Tactical"
Strategy Games,Coming soon,Mad Robot Games,Dreamshard: Deckbuilding Roguelike,win,None,,,"Roguelike,Deckbuilder,Card,Battler,Card,Game,Deckbuilding,Roguelike,Roguelite,Turn-Based,Dungeon,Crawler,Strategy,RPG,Fantasy,Replay,Value,Procedural,Generation,Turn-Based,Combat,Turn-Based,Strategy,Turn-Based,Tactics,Indie,Difficult,Singleplayer,Mouse,only"
Indie Games/ChiliDog Interactive Franchise,"11 Oct, 2022",Anti-Pattern Studio,Space Roguelike Adventure,"win,mac,linux","706,50 руб.",Mostly Positive,17,"Pixel,Graphics,2D,Platformer,Action,Roguelike,Idler,Platformer,2D,Futuristic,Aliens,Space,Character,Customization,FMV,Score,Attack,Singleplayer,Combat,Swordplay,Relaxing,Old,School,Indie,RPG"
Action Games,"18 Jan, 2019",Homebrew Cult,Refill your Roguelike,win,None,Mixed,23,"Free,to,Play,Casual,Indie,Early,Access,Action,Adventure,Roguelike"
Action Games,"24 Feb, 2023",Amrita,Pixel Survivors : Roguelike,win,"214,50 руб.",Very Positive,353,"RPG,Roguelike,Action,Pixel,Graphics,Singleplayer,2D,Action,Roguelike,Survival,Roguelite,Bullet,Hell,PvE,Souls-like,Top-Down,Medieval,Top-Down,Shooter,Adventure,Controller,Casual,Action,RPG,Fantasy"
Adventure Games/indie.io Franchise,"28 Apr, 2025",Pepperbox Studios,Kaamos: Puzzle Roguelike,win,335 руб.,Positive,36,"PvE,Roguelike,Puzzle,Strategy,RPG,Deckbuilding,Turn-Based,Tactics,Perma,Death,Dark,Fantasy,Adventure,RPG,Strategy,Turn-Based,Strategy,Retro,Match,3,Tactical,RPG,Turn-Based,Combat,Point,&,Click,Medieval,Singleplayer,Tactical"
Strategy Games/D20Studios Franchise,"11 May, 2023",D20Studios,Abalon: Roguelike Tactics CCG,"win,mac,linux",550 руб.,Very Positive,439,"Turn-Based,Tactics,Dungeon,Crawler,Card,Battler,Roguelike,Grid-Based,Movement,Deckbuilding,Turn-Based,Combat,Party-Based,RPG,Fantasy,Adventure,RPG,Turn-Based,Strategy,Controller,Top-Down,2D,Strategy,Tabletop,Board,Game,Turn-Based,Singleplayer"
Strategy Games,"9 Feb, 2017",Slashware Interactive,Ananias Roguelike,"win,mac,linux","1523,20 руб.",Positive,36,"Traditional,Roguelike,Roguelike,RPG,Indie,Strategy,Turn-Based,Turn-Based,Tactics"
RPG Games,"17 Jun, 2020",Ольга,Russia Roguelike,win,None,Very Positive,73,"Action,Indie,RPG,Simulation,Roguelike"
RPG Games,"15 Jun, 2016",Sergey Bobrov,Vanilla Bagel: The Roguelike,win,"704,90 руб.",Mixed,33,"RPG,Roguelike,Adventure,Indie,2D,Pixel,Graphics"
Indie Games/Ponywolf Franchise,"27 May, 2020",Ponywolf,RogueJack: Roguelike Blackjack,"win,mac",480 руб.,Mostly Positive,41,"RPG,Casual,Indie,Card,Game,Dungeon,Crawler,Roguelike,Roguelite,Pixel,Graphics,Card,Battler,1980s,Comedy,Dragons,Fantasy,Old,School,Retro,Class-Based,Turn-Based,Combat,Singleplayer,Controller,Music"
Indie Games,"14 Apr, 2016",Eyemobi Ltd.,Phantasmal: Survival Horror Roguelike,win,None,Mixed,350,"Horror,Multiplayer,Indie,Survival,Horror,Lovecraftian,Atmospheric,Roguelite,Free,to,Play,FPS,Difficult,Survival,Procedural,Generation,Co-op,Roguelike"
Strategy Games/Zabbo Games Franchise,"30 Nov, 2022",Zabbo Games,Another Farm Roguelike,win,None,Very Positive,417,"Strategy,Farming,Sim,Singleplayer,Roguelike,Pixel,Graphics,Simulation,Crafting,Procedural,Generation,Building,Immersive,Sim,Top-Down,Resource,Management,Automation,Colorful,Inventory,Management,Cute,Traditional,Roguelike,Management,Economy,Cooking"
Indie Games,"27 Mar, 2023",Aspect,Ascendant's Roguelike,win,None,2 user reviews,2,"RPG,Roguelike,Hack,and,Slash,Action,Roguelike,Bullet,Hell,2D,Combat,Pixel,Graphics,Early,Access,Fantasy,Indie,PvE,Singleplayer"
Action Games/AFIL Games Franchise,Coming soon,Antonio Filipe,Elemental Survivors : Roguelike,win,None,,,"Action,Roguelike,Bullet,Hell,Top-Down,Shooter,Roguelike,Top-Down,Roguelite,Action,Arena,Shooter,Score,Attack,Perma,Death,Combat,RPG,Retro,Pixel,Graphics,Arcade,Colorful,2D,Controller,Casual,Singleplayer"
Strategy Games/HypeTrain Digital Franchise,"25 Mar, 2025",StunForge,Nordhold,"win,mac,linux",1003 руб.,Very Positive,1669,"Roguelite,Tower,Defense,City,Builder,Top-Down,Management,Strategy,3D,Casual,Procedural,Generation,Singleplayer,Medieval,PvE,Choices,Matter,Tactical,Resource,Management,Replay,Value,Indie,Turn-Based,Strategy,Roguelike,Base,Building"
Strategy Games,"22 Feb, 2024",Gabriel Adriano,Roguelike Chess,win,None,1 user reviews,1,"Turn-Based,Tactics,Strategy,PvE,Casual,Board,Game,Tabletop,Roguelike,3D,Third,Person,Top-Down,Early,Access,Indie,Cartoony,Fantasy,Logic,Tactical,Singleplayer"
Indie Games,"27 Feb, 2025",GGGsoft5,Ax Roguelike,win,None,,,"RPG,Roguelike,Roguelite,2D,Dark,Turn-Based,Combat,Singleplayer,Indie"
Adventure Games/Focus Entertainment Franchise,"25 Nov, 2024",Hutlihut Games,Void Crew,win,"2849,05 руб.",Very Positive,5272,"Co-op,Multiplayer,Space,Sim,Adventure,Space,Roguelite,Online,Co-Op,PvE,First-Person,Action,Indie,Exploration,3D,Action-Adventure,Futuristic,Colorful,Sci-fi,Flight,Character,Customization,Singleplayer"
Action Games/Blobfish Games Franchise,"23 Jun, 2023",Blobfish,Brotato,win,"341,10 руб.",Overwhelmingly Positive,91436,"Roguelike,Singleplayer,Action,Roguelike,Bullet,Hell,Sci-fi,Survival,Arena,Shooter,Local,Co-Op,Roguelite,Hack,and,Slash,Multiplayer,Replay,Value,Arcade,Casual,Top-Down,Shooter,Action,Controller,RPG,2D,Co-op"
RPG Games/Red Hook Studios Franchise,"8 May, 2023",Red Hook Studios,Darkest Dungeon® II,"win,mac",2124 руб.,Mostly Positive,19531,"Turn-Based,Tactics,Roguelite,Dungeon,Crawler,Dark,Fantasy,Lovecraftian,Singleplayer,Roguelike,Perma,Death,Turn-Based,CRPG,Story,Rich,Turn-Based,Combat,Party-Based,RPG,2D,Hand-drawn,Gothic,Procedural,Generation,RPG,Turn-Based,Strategy,Stylized"
Action Games,"15 Oct, 2020",Nolla Games,Noita,win,"1423,80 руб.",Overwhelmingly Positive,71147,"Physics,Roguelike,Pixel,Graphics,Difficult,Dungeon,Crawler,Indie,Open,World,Sandbox,2D,Perma,Death,Action,Action,Roguelike,Gun,Customization,2D,Platformer,Roguelite,RPG,Dark,Humor,Mythology,Crafting,Action-Adventure"
Action Games/Nicalis Franchise/The Binding of Isaac: Rebirth/Downloadable Content,"31 Mar, 2021","Nicalis, Inc.Edmund McMillen",The Binding of Isaac: Repentance,win,1317 руб.,Very Positive,12658,"Action,Adventure,RPG,Roguelike,Difficult,Replay,Value,Action,Roguelike,Gore,Pixel,Graphics,Indie,Multiplayer,Singleplayer,2D,Dungeon,Crawler,Roguelite,Great,Soundtrack,Dark,Procedural,Generation,Atmospheric,Horror"
Action Games,"20 Oct, 2022",poncle,Vampire Survivors,"win,mac","647,20 руб.",Overwhelmingly Positive,236805,"Action,Roguelike,Bullet,Hell,Pixel,Graphics,Roguelite,Vampire,2D,Indie,Singleplayer,Casual,Arcade,Action,Roguelike,RPG,Controller,Retro,Score,Attack,Dark,Fantasy,Local,Co-Op,Action,RPG,1980s"
RPG Games,"30 Apr, 2025",Fun And Study,Hero Hellspawn - Roguelite English Learning Game,"win,mac",None,,,"RPG,Roguelike,Action,Roguelike,2D,Education,Combat,Singleplayer,Indie"
RPG Games/Curve Games Franchise,"2 Nov, 2023",IronOak Games,For The King II,win,699 руб.,Mixed,10266,"Adventure,RPG,Strategy,Party-Based,RPG,Board,Game,Roguelike,Turn-Based,Strategy,Roguelite,Tabletop,Multiplayer,Turn-Based,Combat,Online,Co-Op,Co-op,Fantasy,Local,Co-Op,Hex,Grid,Local,Multiplayer,Open,World,Singleplayer,PvP"
Action Games/Landfall Games Franchise,"1 Apr, 2025",Landfall,Haste,"win,mac,linux","1065,60 руб.",Very Positive,5029,"Fast-Paced,Action,Female,Protagonist,3D,Platformer,Roguelite,Parkour,Singleplayer,Adventure,Runner,Racing,Open,World,Exploration,Action,Roguelike,Arcade,Casual,Platformer,Colorful,Action-Adventure,3D,Third,Person"
Action Games/Warhammer Franchise,"8 Mar, 2018",Fatshark,Warhammer: Vermintide 2,win,"3290,14 руб.",Very Positive,85036,"Co-op,Dark,Fantasy,Games,Workshop,Online,Co-Op,Hack,and,Slash,Multiplayer,PvE,Gore,Dwarf,Fantasy,First-Person,RPG,Elf,Combat,Roguelite,Action,RPG,Action,Atmospheric,FPS,Singleplayer"
AI Roguelite/Downloadable Content,"8 Apr, 2022",Max Loh,AI Roguelite Main Theme (OST),mac,None,3 user reviews,3,
Strategy Games,Coming soon,Arsanesia,Garden of Wandering Souls: Roguelite Tower Defense,win,None,,,"Tower,Defense,Puzzle,Board,Game,Card,Game,Strategy,Tabletop,Roguelike,3D,Top-Down,Base,Building,Deckbuilding,Linear,Procedural,Generation,Minimalist,Stylized,Dark,Fantasy,Fantasy,Automation,Atmospheric,Building"
Action Games/Hard Shark Games Franchise,"3 Mar, 2025",Hard Shark Games,Forgotten Cave: Roguelite Dungeon Crawler,win,None,1 user reviews,1,"Early,Access,Dungeon,Crawler,Action,Roguelike,Roguelite,Replay,Value,Adventure,Hack,and,Slash,Pixel,Graphics,Combat,Fantasy,Loot,Top-Down,Perma,Death,Action,Procedural,Generation,Roguelike,Medieval,RPG,Exploration,2D"
Adventure Games/Devolver Digital Franchise,"11 Aug, 2022",Massive Monster,Cult of the Lamb,"win,mac","1644,30 руб.",Overwhelmingly Positive,88499,"Base,Building,Cute,Action,Roguelike,Singleplayer,Dungeon,Crawler,Character,Customization,Roguelite,Dark,Humor,Colony,Sim,Building,2D,Adventure,Action,Faith,Fantasy,Funny,Controller,Colorful,Strategy,Third,Person"
Action Games/Hard Shark Games Franchise,"22 Sep, 2017",Hard Shark Games,Scarlett's Dungeon: Retro Action RPG Roguelite,win,None,Mostly Positive,37,"Action,Roguelike,Pixel,Graphics,Roguelike,Indie,Replay,Value,Difficult,Dungeon,Crawler,Character,Action,Game,Soundtrack,Singleplayer,2D,Remake,Procedural,Generation,Roguelite,Atmospheric,Action,Hack,and,Slash,Top-Down,Adventure,Fantasy"
Indie Games,2025,REBUILD GAMES,SUMMER ROAD 10-Minute Auto Roguelite,win,None,,,"Casual,Cute,1980s,Roguelike,Exploration,JRPG,Idler,3D,Top-Down,America,Retro,Atmospheric,Inventory,Management,Character,Customization,Hack,and,Slash,Conversation,Female,Protagonist,Automation,Resource,Management,Singleplayer"
Action Games,"16 Sep, 2024",Bolt Blaster Games,The Spell Brigade,"win,linux",693 руб.,Very Positive,6349,"Action,Roguelike,Online,Co-Op,Bullet,Hell,Roguelite,Co-op,Action,Magic,Roguelike,3D,Top-Down,Shooter,Multiplayer,Dark,Fantasy,Arcade,Casual,Top-Down,Score,Attack,Controller,Colorful,Early,Access,Procedural,Generation"
Action Games,"29 Apr, 2025",Prophecy Games,Deadzone: Rogue,win,720 руб.,Very Positive,1270,"Early,Access,PvE,Roguelite,Online,Co-Op,Action,FPS,Shooter,Sci-fi,Action,Roguelike,Roguelike,Dungeon,Crawler,Looter,Shooter,Loot,First-Person,Atmospheric,Dark,Futuristic,Space,Combat,Mystery"
RPG Games/Hard Shark Games Franchise,"17 Mar, 2020",Hard Shark Games,Slashvival: Action RPG Roguelite,win,None,7 user reviews,7,"Early,Access,Souls-like,Action,Roguelike,Adventure,Anime,Roguelike,Action,Dungeon,Crawler,Roguelite,Indie,Difficult,Procedural,Generation,Perma,Death,Swordplay,Hack,and,Slash,Third,Person,RPG,Singleplayer,Fantasy,Soundtrack"
Action Games/Assemble Entertainment Franchise,"21 Mar, 2022",SmokeStab,Orbital Bullet – The 360° Rogue-lite,win,978 руб.,Very Positive,485,"Platformer,Pixel,Graphics,Roguelike,Action,Roguelike,Action,2D,Platformer,Difficult,Indie,Replay,Value,Bullet,Time,Singleplayer,Perma,Death,2.5D,Procedural,Generation,2D,Sci-fi,3D,Cyberpunk,Futuristic,Hack,and,Slash"
RPG Games,"26 Mar, 2024",Cotobito Games,Soul Wizards & Roguelite,win,None,Positive,18,"Dungeon,Crawler,Mystery,Dungeon,Roguelite,Roguelike,Dark,Fantasy,Party-Based,RPG,Procedural,Generation,Fantasy,RPG,Singleplayer,1980s,Anime,Retro,First-Person,Controller,3D,Dark,Early,Access,RPGMaker"
Indie Games,To be announced,Kristian Kivijärvi,The Void: An Incremental Roguelite,win,None,,,"RPG,Roguelite,Gambling,Turn-Based,Strategy,2D,Dark,Strategy,Colorful,Perma,Death,Strategy,RPG,Idler,Turn-Based,Tactics,Cartoon,Stylized,Atmospheric,Fantasy,Magic,Relaxing,Surreal,Roguelike"
RPG Games,"6 Mar, 2024",Max Loh,AI Roguelite 2D,win,None,Mixed,23,"Early,Access,Action,Roguelike,Hack,and,Slash,Roguelite,RPG,Action,RPG,Action-Adventure,Roguelike,2D,Top-Down,Exploration,Action,Loot,PvE,Sci-fi,Artificial,Intelligence,Procedural,Generation,Fantasy,Post-apocalyptic,Medieval"
Action Games,"21 Sep, 2020",Ghost Goats Games,Asteroids... But Roguelite,win,None,Positive,17,"Retro,Action,Roguelike,Shoot,'Em,Up,Arcade,Score,Attack,Bullet,Hell,Roguelite,Action,2D,Top-Down,Shooter,Vehicular,Combat,Twin,Stick,Shooter,Top-Down,Shooter,Pixel,Graphics,Old,School,Sci-fi,Roguelike,Space,Gun,Customization"
Action Games,"15 Mar, 2024",Sigyaad Team,Twilight Manor: Roguelite FPS,win,"970,40 руб.",Very Positive,91,"Action,Shooter,Boomer,Shooter,Bullet,Hell,FPS,Roguelite,2D,Colorful,Cute,First-Person,Cyberpunk,Pixel,Graphics,Robots,Sci-fi,Female,Protagonist,Singleplayer,Gore,Blood,Futuristic,Violent"
RPG Games,"25 Oct, 2023",Max Loh,AI Roguelite,win,None,Very Positive,405,"RPG,Text-Based,Procedural,Generation,Choose,Your,Own,Adventure,Visual,Novel,Roguelite,Artificial,Intelligence,Dungeon,Crawler,Adventure,Roguelike,Crafting,Turn-Based,Combat,Perma,Death,Resource,Management,Fantasy,Zombies,Medieval,Post-apocalyptic,Sci-fi,Robots"
RPG Games,Coming soon,goatdragonstudio,Cupid: Roguelite,win,None,,,"RPG,Action,Action,Roguelike,Shooter,Bullet,Hell,Roguelite,Side,Scroller,Pixel,Graphics,Comedy,Fantasy,Magic,Romance,Singleplayer"
Racing Games/Redout Game Franchise/Redout: Enhanced Edition/Downloadable Content,"17 Nov, 2017",34BigThings srl,Redout - Space Exploration Pack,win,1158 руб.,Positive,24,Racing
Adventure Games,To be announced,Mistcloud Games,Backrooms Exploration Liminal,win,None,,,"Adventure,Sandbox,Walking,Simulator,Choose,Your,Own,Adventure,Immersive,Sim,3D,Minimalist,Pixel,Graphics,Atmospheric,Relaxing,Supernatural,Surreal,Choices,Matter,Multiple,Endings,Open,World,Story,Rich,Singleplayer,Indie,Exploration,Stylized"
Simulation Games,"16 Oct, 2018",Immersive VR Education PLC,TITANIC Shipwreck Exploration,win,435 руб.,Mostly Positive,92,"Simulation,Exploration"
Indie Games,"1 Aug, 2024",Sea Lio,家屋探索 -Japanese House Exploration-,win,None,Very Positive,103,"FPS,Horror,Hidden,Object,Action-Adventure,Action,3D,Multiple,Endings,Dark,Tutorial,First-Person,Conversation,Story,Rich,Indie,Realistic,Survival,Horror,Inventory,Management,Singleplayer"
Casual Games,"11 Feb, 2025",me,Gem Exploration,win,None,,,"Casual,2D,Pixel,Graphics,Cute,Colorful"
Adventure Games,"5 Jul, 2018",Exploration Pro,Exploration Pro,"win,mac",None,,,"Casual,Simulation,Strategy,Action,Adventure"
Indie Games/Overhype Studios Franchise/Battle Brothers/Downloadable Content,"29 Nov, 2018",Overhype Studios,Battle Brothers - Beasts & Exploration,win,319 руб.,Very Positive,352,"Strategy,Indie,RPG"
Adventure Games,"2 May, 2025",HNStudios,Backrooms: Exploration,win,None,Positive,23,"Horror,Adventure,First-Person,Realistic,Story,Rich,Psychological,Horror,Dark,Singleplayer,Walking,Simulator,Atmospheric,Investigation,Multiple,Endings,Exploration,3D,Early,Access,Mystery"
Adventure Games,"22 Mar, 2023",Mistcloud Games,Backrooms Exploration,win,None,Mixed,24,"RPG,Adventure,Singleplayer,Story,Rich,Stylized,3D,Indie,Mystery,Supernatural,Puzzle,Walking,Simulator,Choose,Your,Own,Adventure,Immersive,Sim,First-Person,Pixel,Graphics,Atmospheric,Horror,Psychological,Survival,Horror,Multiple,Endings"
Indie Games,2025,Tan Ant GamesTanat Boozayaangool,Building Relationships,win,None,,,"Exploration,Adventure,Comedy,Dating,Sim,Fishing,Open,World,Pixel,Graphics,LGBTQ+,Short,Romance,Singleplayer,Surreal,Conversation,Funny,Retro,Relaxing,Casual,Cozy,Cute,3D"
Adventure Games/KenForest Franchise,"2 Apr, 2025",KenForest,LiDAR Exploration Program,win,None,Very Positive,99,"Adventure,Horror,Atmospheric,Psychological,Horror,Exploration,Walking,Simulator,First-Person,3D,Indie,Linear,Singleplayer,Hidden,Object,Relaxing,Thriller,Colorful"
Adventure Games,2025,Rednax,Exploration: Light,win,None,,,"Open,World,Space,Sim,Exploration,Adventure,Sci-fi,Action,Story,Rich,Trading,Narration,Space,Flight,PvE,2D,Singleplayer,Action-Adventure,Vehicular,Combat,Gun,Customization,Top-Down,Shooter,Pixel,Graphics,Top-Down"
Simulation Games,"9 Nov, 2020",Telegmatic,Mason: Building Bricks,win,217 руб.,Positive,27,"Building,Sandbox,Base,Building,City,Builder,Relaxing,Simulation,Fantasy,Procedural,Generation,Singleplayer,3D,Top-Down,LEGO,Indie"
Simulation Games/The Irregular Corporation Franchise,"29 Jan, 2019",Claudiu KissThe Irregular Corporation,PC Building Simulator,win,2618 руб.,Very Positive,41134,"Simulation,Education,Immersive,Sim,Building,Management,Sandbox,First-Person,3D,Life,Sim,Realistic,Casual,Relaxing,Singleplayer,Hardware,Funny,Puzzle,Modern,Inventory,Management,Atmospheric,Indie"
Casual Games,Q3 2025,Paws and Play Studios,Building Friends,win,None,,,"Adventure,Casual,Platformer,3D,Platformer,Puzzle,Platformer,3D,Cartoony,Colorful,Cute,Stylized,Third,Person,Family,Friendly,Funny,Relaxing,Character,Customization,Linear,Multiple,Endings,Singleplayer,Building,Indie"
Simulation Games/OKJOY Franchise,"9 Oct, 2022",PandaCat 熊喵独立游戏,Craft Hero,win,None,Very Positive,347,"Base,Building,Crafting,Sandbox,Survival,Simulation,RPG,Building,Strategy,Turn-Based,Combat,Strategy,RPG,Roguelike,Roguelite,Dungeon,Crawler,Adventure,Early,Access,Pixel,Graphics,Indie,Singleplayer,Combat,Exploration"
Action Games/Generation Zero®/Downloadable Content,"23 Mar, 2020",Systemic Reaction™,Generation Zero® - Apparel Crafting,win,None,Mixed,43,"Action,Adventure"
Casual Games,"9 Dec, 2020",Kodii Games,Physics Sandbox VR,win,None,8 user reviews,8,"Casual,Sandbox,VR,Physics,Singleplayer"
Free To Play Games/Physics Lab/Downloadable Content,"3 Dec, 2023",Barlow Games Ltd,Physics Lab VR,win,None,1 user reviews,1,"Casual,Atmospheric,Free,to,Play,Sandbox,3D,Indie,Action,Minimalist,Stylized,First-Person,Logic,Physics,Nonlinear,Singleplayer,Strategy,Adventure,RPG"
Simulation Games,"23 Oct, 2020",Xennial Digital,Physics: Optics Table,win,None,,,"Simulation,Experimental,Exploration,Education,6DOF,Singleplayer,Physics,VR"
Simulation Games,"25 Nov, 2024",Edda Knowledge AB,Edda Physics 1,win,None,,,"Simulation,Education,VR,Physics,Sandbox,Immersive,Sim,3D,Space,6DOF,Narration,Tutorial,Singleplayer"
Action Games,"16 Sep, 2015",Jack Dolabany,Robot Exploration Squad,win,None,Positive,12,"Action,Adventure,Indie,Gore,Violent,Metroidvania,Platformer,Robots,Exploration,2D,Controller"
Casual Games,"25 Mar, 2024",tinygame,Draw Physics Line,win,None,2 user reviews,2,"Casual,Puzzle,Platformer,Puzzle,2D,Abstract,Minimalist,Stylized,Logic,Magic,Level,Editor,Strategy,Action,Moddable,Crafting,Physics,Cartoon,Singleplayer"
Action Games,"29 Mar, 2018",Range Plus One Inc.,Fatal Velocity: Physics Combat,win,None,Mostly Positive,47,"Indie,Early,Access,Action"
Casual Games,"25 Oct, 2021",ongmaker熔核工作室,PhyTetris-Physics Tetris,win,None,Positive,14,"Casual,Simulation,Arcade,Match,3,3D,Vision,Realistic,1980s,Indie,1990's,Singleplayer"
Simulation Games,"20 Aug, 2021",KreizLand Games,Destructive Physics - Destruction Simulator,"win,mac,linux","1190,40 руб.",Mostly Positive,89,"Destruction,Sandbox,Simulation,Physics,Realistic,Level,Editor,Time,Manipulation,Bullet,Time,Gun,Customization,Singleplayer,God,Game,Relaxing,Open,World,Building,3D,6DOF,Exploration,Military,Early,Access,Multiplayer"
Adventure Games,"4 Sep, 2019",MyGames,Crafting Block World,win,None,Mixed,46,"Voxel,Sandbox,Survival,Simulation,Casual,Action,Adventure,Indie,Pixel,Graphics,Singleplayer,Exploration,Building,Mining,Open,World,Procedural,Generation,Colorful,Crafting,Base,Building,Choose,Your,Own,Adventure,Replay,Value"
Strategy Games,"15 Dec, 2017",Armagedoom Games,Crafting Tycoon,win,"220,50 руб.",4 user reviews,4,"Strategy,Indie,Simulation,Crafting,Management,Great,Soundtrack,Difficult"
Adventure Games,"19 May, 2022",Aztech,Space Crafting,"win,mac,linux",1300 руб.,Mostly Negative,33,"Early,Access,Action,Adventure,Casual,Simulation,Strategy,Action,RPG,Auto,Battler,Board,Game,Life,Sim,3D,Platformer,MOBA,Choose,Your,Own,Adventure,Creature,Collector,Immersive,Sim,Metroidvania,3D,Outbreak,Sim,Colorful,Cute"
Action Games,Coming soon,Crafting Combat,Crafting Combat,win,None,,,"Early,Access,Strategy,Medieval,Swordplay,PvP,Resource,Management,Crafting,Combat,Action,RTS,Real,Time,Tactics,MOBA,RPG,RTS,Third,Person,3D,Team-Based,Action,Choices,Matter,Realistic,Tactical"
Indie Games,Coming soon,Nameless XIII,LoveCrafting,win,None,,,"Deckbuilding,Roguelike,Deckbuilder,Card,Game,Perma,Death,Turn-Based,Combat,Card,Battler,Lovecraftian,Roguelite,Roguelike,Pixel,Graphics,2.5D,Strategy,Stylized,Dark,Turn-Based,Strategy,Demons,Singleplayer,Mystery,Casual,Magic"
Simulation Games/Musa GUNGOR Franchise,"28 Jul, 2022",Musa GUNGOR,Crafting Town,win,2380 руб.,Mostly Positive,43,"Crafting,Medieval,Simulation,Life,Sim,Pixel,Graphics,Resource,Management,Casual,Immersive,Sim,Atmospheric,Clicker,Base,Building,Building,Strategy,Singleplayer,2D,Indie,Cute,Colorful,Colony,Sim,Time,Management"
Indie Games,"18 Aug, 2017",Ferullo Gaming,Crafting Dead,win,None,Mixed,134,"Survival,Zombies,Multiplayer,Post-apocalyptic,Adventure,Action,Open,World,Indie,Voxel,Pixel,Graphics,Early,Access,Crafting,Base,Building,PvP,Survival,Horror,Action-Adventure,Looter,Shooter,First-Person,Exploration,Arcade"
Sports Games,Coming soon,Bobby Griz,Physics Based Golf,win,None,,,"Simulation,Sports,Physics,Golf,Open,World,Multiplayer,Immersive,Sim,3D,Third,Person,Singleplayer,Action,Indie,Casual,Controller,Walking,Simulator,Automobile,Sim"
Simulation Games,"10 Nov, 2015",Lucky You Studio,Kumoon : Ballistic Physics Puzzle,"win,mac",None,Mixed,34,"Casual,Action,Indie,Simulation,VR,Puzzle,Physics,Robots,Family,Friendly,Great,Soundtrack,Shooter,Platformer,3D,Platformer,Puzzle,Platformer,Sci-fi,FPS,Third,Person,First-Person,Third-Person,Shooter"
Action Games,"15 Nov, 2024",MacroTree Games,DeltaPhysics,"win,linux",None,,,"Nonlinear,Physics,Metroidvania,Minimalist,Action,Puzzle,Platformer,2D,Puzzle,Platformer,2D,Platformer,Indie,Early,Access,Science,Singleplayer"
Indie Games,"1 Apr, 2021",Nolan Ritchie,Freedom Physics,win,None,2 user reviews,2,"Simulation,Platformer,Sandbox,2D,Platformer,Side,Scroller,2D,Building,Local,Co-Op,Physics,Singleplayer,Indie"
Casual Games,"3 May, 2019",IDC Games,Physics Drop,"win,mac",None,,,"Indie,Casual"
Simulation Games,"6 Oct, 2021",Gaming-Apps.com,Water Physics Simulation,win,None,Very Positive,76,"Simulation,Sandbox,Physics,Destruction,Building,Automobile,Sim,God,Game,2D,Relaxing,Indie,Casual,Minimalist,Singleplayer,Cartoon"
Action Games,"15 Dec, 2016",Midas Touch Game,Fist of Physics,win,None,Mostly Positive,37,"Simulation,Boxing,Action,Indie,Early,Access,Sports,Physics,VR,Robots"
Simulation Games,"25 Jul, 2021",CarPhyGames,Car Physics Simulator,win,"153,60 руб.",Mixed,40,"Casual,Simulation,Racing,Education,Automobile,Sim,Immersive,Sim,3D,First-Person,Realistic,Third,Person,Physics,Driving,Open,World,Character,Customization,Tutorial,Singleplayer,Indie,Early,Access,Sandbox,Level,Editor"
Indie Games,"5 Aug, 2022",Partygamer3000,Physics Playground,win,None,Mostly Positive,11,"Casual,Indie,Physics,Sandbox,Simulation,Relaxing,Funny,Open,World,Minimalist,Arcade,Colorful,Singleplayer,3D,Platformer,3D,Platformer,Destruction,FPS"
Indie Games,"7 Jan, 2009",Kloonigames,Crayon Physics Deluxe,"win,mac","1423,80 руб.",Very Positive,334,"Puzzle,Indie,Casual,Physics,Family,Friendly,Singleplayer,Touch-Friendly,2D,Cute,Relaxing,Sandbox,Level,Editor,Great,Soundtrack,Simulation,Hand-drawn"
Simulation Games,"22 Aug, 2021",Merriman Games,Physics Cake,win,None,Mixed,10,"Casual,Simulation,Building,Sandbox,2D,Minimalist,Pixel,Graphics,Physics,Indie,Singleplayer,Early,Access"
Free To Play Games,"24 Mar, 2024",Jilted Generation Productions,Unreal Physics,win,None,Mostly Positive,206,"Physics,Sandbox,Free,to,Play,Casual,Destruction,Action,Exploration,Immersive,Sim,Third-Person,Shooter,3D,Realistic,First-Person,Animation,&,Modeling,Third,Person,Game,Development,Nonlinear,Singleplayer,Gaming,Immersive,Indie"
Indie Games,"7 May, 2023",Barlow Games Ltd,Physics Lab,win,None,Positive,25,"Casual,Atmospheric,Sandbox,3D,Action,Minimalist,Stylized,First-Person,Physics,Logic,Nonlinear,Singleplayer,Free,to,Play,Indie,Strategy,Adventure,RPG"
Action Games,"26 Jan, 2023",Tour De Pizza,Pizza Tower,win,None,Overwhelmingly Positive,60185,"Great,Soundtrack,2D,Platformer,Fast-Paced,Indie,Cartoony,Platformer,Funny,Singleplayer,Pixel,Graphics,Comedy,Action,2D,Epic,Colorful,Difficult,Retro,1990's,Adventure,Memes,War"
